ALL SCPP DATA FOR 1985 (spring)

Beginning 861218 @ 10:25, the higher magnification on the sterio microscope was used to
image the ice particles.  Prior to that date, lower magnification was used and the data
quality is inferior (i.e. this data set).  See Mitchell et al. (1990, JAM).

Note: No confidence rating is given since that practice had not been adopted when this
data was developed.

Temperature of origin refers to the midpoint temperature of the habit regime the ice particle
corresponds to.  Temperature uncertainty indicates the extent of the habit regime (i.e. the
midpoint minus temp. uncertainty to the mean plus temp. uncertainty).

For ice particle shape classification, R- indicates ice particle is rimed; -A means the ice
particle is an aggregate with possibly other less dominant habits present; -F means the ice
particle is an ice crystal fragment; -FA means the ice particle is an aggregate consisting
largely of crystal fragments.  For habit classifications, see Magono and Lee scheme in 
Pruppacher and Klett.

X and Y refer to coordinates on a grid superimposed on a projector screen and were used 
to locate the particle image on a slide.


Date   Time    X     Y      Image  Image  Actual Actual  Mass    Temp.   Temp. Snow
                            ice    drop   ice    drop            of    uncert. type
                            length length length length          origin
                            (cm)   (cm)   (mm)   (mm)    (mg)   (deg. C)  (C)


850326 1722  48.50  60.00    .35    .28    .23    .18  .158E-02   -7.00   3.00 G1
850326 1722  37.00  57.00   1.85    .70   1.20    .46  .247E-01  -25.00   5.00 C2B
850326 1722  54.40  55.00   1.35    .60    .88    .39  .155E-01  -25.00   5.00 C2B
850326 1722  59.00  58.50   1.40    .70    .91    .46  .247E-01  -27.50   2.50 C1C
850326 1722  59.50  65.00   1.00    .30    .65    .20  .194E-02  -15.00   1.50 I3B
850326 1722  62.00  58.00   1.30    .70    .85    .46  .247E-01  -27.50   2.50 C1C
850326 1722  66.00  60.00   1.60    .90   1.04    .59  .524E-01   -5.00   1.00 N1A
850326 1722  66.50  58.00   1.25    .50    .81    .33  .899E-02   -7.00   1.00 N1E
850326 1722  67.50  56.00    .70    .45    .46    .29  .655E-02  -30.00  10.00 C1E
850326 1722  72.00  59.00   1.60    .55   1.04    .36  .120E-01  -30.00  10.00 C1E
850326 1729   8.50  10.00   1.70   1.10   1.11    .72  .957E-01  999.00 999.00 I4 
850326 1729  25.00   9.00   1.70    .95   1.11    .62  .616E-01  999.00 999.00 I4 
850326 1729  31.00   2.00   1.40   1.00    .91    .65  .719E-01  -25.00   5.00 C2B
850326 1729  46.00   4.00   1.20    .90    .78    .59  .524E-01  999.00 999.00 I4 
850326 1729  60.00   6.50   1.20    .80    .78    .52  .368E-01  -30.00  10.00 C1E
850326 1729  61.00   9.50    .90    .75    .59    .49  .303E-01  999.00 999.00 I4 
850326 1729  86.00   8.50   2.20    .95   1.43    .62  .616E-01  999.00 999.00 I4 
850326 1729  86.50   2.50   1.20    .80    .78    .52  .368E-01  -30.00   5.00 C2A
850326 1729   7.50  14.00   1.30    .80    .85    .52  .368E-01  999.00 999.00 I4 
850326 1729   9.00  15.00   1.00    .55    .65    .36  .120E-01  999.00 999.00 I4 
