ALL SCPP DATA FOR 1986 (winter and fall) AND 1987 (January)

Beginning 861218 @ 10:25, the higher magnification on the sterio microscope was used to
image the ice particles.  Prior to that date, lower magnification was used and the data
quality is inferior.  See Mitchell et al. (1990, JAM).

Note: Confidence rating refers to snow type. From most to least confident => 1, 2, 3. "0" means not applicable.

Temperature of origin refers to the midpoint temperature of the habit regime the ice particle
corresponds to.  Temperature uncertainty indicates the extent of the habit regime (i.e. the
midpoint minus temp. uncertainty to the mean plus temp. uncertainty).

For ice particle shape classification, R- indicates ice particle is rimed; -A means the ice
particle is an aggregate with possibly other less dominant habits present; -F means the ice
particle is an ice crystal fragment; -FA means the ice particle is an aggregate consisting
largely of crystal fragments.  For habit classifications, see Magono and Lee scheme in 
Pruppacher and Klett.

X and Y refer to coordinates on a grid superimposed on a projector screen and were used 
to locate the particle image on a slide.


Date   Time    X     Y      Image  Image  Actual Actual  Mass    Temp.   Temp. Snow  Confidence
                            ice    drop   ice    drop            of    uncert. type  rating
                            length length length length          origin
                            (cm)   (cm)   (mm)   (mm)    (mg)   (deg. C)  (C)

860203 1932   1.00  21.00   1.40    .80    .56    .32  .851E-02  -15.00   2.50 R3B-F    3 
860203 1932   5.00  23.00   2.40   1.00    .96    .40  .166E-01  -15.00   2.50 R3B-F    3 
860203 1932   5.00  22.00   1.10    .70    .44    .28  .570E-02  -15.00   2.50 R3B-F    2 
860203 1932   5.00  15.00   4.60   2.04   1.84    .81  .141E+00  -15.00   2.50 R3B-F    1 
860203 1932   5.50  13.00   2.10   1.00    .84    .40  .166E-01  -15.00   2.50 R3B-F    2 
860203 1932   6.00   4.00   3.30   1.20   1.32    .48  .287E-01  -25.00   5.00 C2B      3 
860203 1932   7.00  17.00   1.30   1.00    .52    .40  .166E-01  -15.00   2.50 R3B-F    2 
860203 1932  10.00  10.00   1.30    .70    .52    .28  .570E-02  -15.00   2.50 R3B-F    3 
860203 1932  11.00   4.00   1.70    .90    .68    .36  .121E-01  -25.00   5.00 C2B      3 
860203 1932  10.00  18.00   1.30    .90    .52    .36  .121E-01  -25.00   5.00 C2B      1 
860203 1932  13.00  19.00   1.40    .90    .56    .36  .121E-01  999.00 999.00 I4       0 
860203 1932  14.00  12.00   1.40    .90    .56    .36  .121E-01  -25.00   5.00 C2B      3 
860203 1932  16.00   4.00   4.90   1.40   1.96    .56  .456E-01  -15.00   2.50 R3B-F    1 
860203 1932  14.00  21.00   1.10    .60    .44    .24  .359E-02  -15.00   2.50 R3B-F    3 
860203 1932  15.00  20.00   2.30   1.25    .92    .50  .325E-01  -15.00   2.50 R3B-F    2 
860203 1932  18.00  21.00   2.30   1.45    .92    .58  .507E-01  -25.00   5.00 C2B      3 
860203 1932  18.00  15.00   1.70   1.00    .68    .40  .166E-01  999.00 999.00 I4       0 
860203 1932  18.50   8.00   2.00   1.10    .80    .44  .221E-01  -25.00   5.00 CP1A     1 
860203 1932  21.00  12.00   2.70   1.10   1.08    .44  .221E-01  999.00 999.00 I4       0 
860203 1932  26.00  12.00   1.40   1.00    .56    .40  .166E-01  -25.00   5.00 C2B      2 
860203 1932  27.00   6.00   1.60   1.20    .64    .48  .287E-01  -25.00   5.00 C2B      2 
860203 1932  29.00  10.00   1.80   1.10    .72    .44  .221E-01  -25.00   5.00 C2B      2 
860203 1932  35.00   4.00   1.60   1.20    .64    .48  .287E-01  -25.00   5.00 C2B      3 
860203 1932  35.00   7.00   1.60   1.00    .64    .40  .166E-01  999.00 999.00 I4       0 
860203 1932  35.00  11.00   1.80   1.00    .72    .40  .166E-01  -30.00  10.00 C1E      2 
860203 1932  35.00  12.00   1.70   1.20    .68    .48  .287E-01  -25.00   5.00 C2B      2 
860203 1932  36.00  17.00   4.10   1.90   1.64    .76  .114E+00  -15.00   2.50 R3B      1 
860203 1932  37.00  21.00    .50    .50    .20    .20  .208E-02  -30.00  10.00 C1E      2 
860203 1932  41.50  11.00   1.30   1.10    .52    .44  .221E-01  -25.00   5.00 C2B      1 
860203 1932  42.50  11.00   1.00   1.00    .40    .40  .166E-01  -25.00   5.00 C2B      2 
860203 1932  40.00  14.00   1.80   1.25    .72    .50  .325E-01  -25.00   5.00 C2B      3 
860203 1932  39.50  15.00   1.20   1.15    .48    .46  .253E-01  -25.00   5.00 C2B      3 
860203 1932  39.00  16.00    .80    .75    .32    .30  .702E-02  -25.00   5.00 C2B      1 
860203 1932  41.50  15.00   2.20   1.30    .88    .52  .365E-01  -15.00   2.50 R3B-F    3 
860203 1932  42.00  20.00   3.30   1.80   1.32    .72  .970E-01  -25.00   5.00 C2B      3 
860203 1932  43.50  16.00   1.00   1.00    .40    .40  .166E-01  999.00 999.00 I4       0 
860203 1932  45.00  20.00   1.20   1.10    .48    .44  .221E-01  -25.00   5.00 C2B      3 
860203 1932  44.50   7.00   1.10   1.00    .44    .40  .166E-01  -25.00   5.00 CP1A     2 
860203 1932  46.00   4.00   1.20    .95    .48    .38  .143E-01  -25.00   5.00 C2B      3 
860203 1932  47.50   3.00   1.80   1.40    .72    .56  .456E-01  -30.00  10.00 C1E      2 
860203 1932  50.00   5.00   4.20   2.02   1.68    .81  .137E+00  -25.00   5.00 C2B      2 
860203 1932  50.50   8.00   1.70   1.30    .68    .52  .365E-01  -25.00   5.00 CP1A     1 
860203 1932  49.50  11.00   1.30   1.15    .52    .46  .253E-01  -25.00   5.00 C2B      3 
860203 1932  50.00  12.50   3.60   1.60   1.44    .64  .681E-01   -7.00   1.00 R-N2C    1 
860203 1932  54.00  13.00   2.00   1.45    .80    .58  .507E-01  -15.00   2.50 R3B-F    1 
860203 1932  55.00  14.00   1.70   1.20    .68    .48  .287E-01  -15.00   3.50 P1A      3 
860203 1932  56.00  16.50   4.00   1.80   1.60    .72  .970E-01  -15.00   5.00 P7A      2 
860203 1932  57.00  10.00   1.30   1.00    .52    .40  .166E-01  -30.00  10.00 R-C1E    1 
860203 1932  58.00  18.00    .80    .75    .32    .30  .702E-02  -15.00   3.50 P1A      3 
860203 1932  59.00  16.00   2.70   1.30   1.08    .52  .365E-01  -15.00   5.00 P7A      1 
860203 1932  59.00   5.00   1.90   1.20    .76    .48  .287E-01  999.00 999.00 I4       0 
860203 1932  59.00   2.00   2.90   1.00   1.16    .40  .166E-01  -25.00   5.00 C2B      3 
860203 1932  60.00  20.00   1.00    .85    .40    .34  .102E-01  -25.00   5.00 CP1A     1 
860203 1932  61.00   1.00   2.60   1.30   1.04    .52  .365E-01  -25.00   5.00 C2B      2 
860203 1932  63.00   3.50   1.90   1.20    .76    .48  .287E-01  -25.00   5.00 C2B      1 
860203 1932  65.00   9.00   3.50   1.70   1.40    .68  .817E-01  -25.00   5.00 C2B      2 
860203 1932  68.00  20.00   1.00    .90    .40    .36  .121E-01  999.00 999.00 I4       0 
860203 1932  68.00   2.00   1.70   1.20    .68    .48  .287E-01  -30.00  10.00 C1E      1 
860203 1932  69.00   4.00   4.50   1.87   1.80    .75  .109E+00  999.00 999.00 I4       0 
860203 1932  71.00   5.00   1.70   1.10    .68    .44  .221E-01  999.00 999.00 I4       0 
860203 1932  71.00   8.00   1.70   1.25    .68    .50  .325E-01  -25.00   5.00 C2B      3 
860203 1932  71.00  20.50   2.40   1.30    .96    .52  .365E-01  -25.00   5.00 R-C2B    2 
860203 1932  71.50  17.50   1.50   1.10    .60    .44  .221E-01  -25.00   5.00 CP1A     1 
860203 1932  72.00  20.00   1.00    .60    .40    .24  .359E-02  -30.00  10.00 C1E      2 
860203 1932  72.00   2.00   1.30    .90    .52    .36  .121E-01  999.00 999.00 I4       0 
860203 1932  73.00   8.00   2.60   1.20   1.04    .48  .287E-01  -15.00   2.50 R3B-F    3 
860203 1932  73.50   2.50   1.90   1.10    .76    .44  .221E-01  -25.00   5.00 C2B      2 
860203 1932  73.00  15.50   1.10    .95    .44    .38  .143E-01  -25.00   5.00 C2B      2 
860203 1932  76.00  11.00   1.10    .70    .44    .28  .570E-02  -25.00   5.00 CP1A     2 
860203 1932  76.00   8.00   2.00   1.10    .80    .44  .221E-01  -30.00  10.00 C1E      1 
860203 1932  78.00   6.00   1.60   1.10    .64    .44  .221E-01  999.00 999.00 I4       0 
860203 1932  79.00  11.50   1.10    .90    .44    .36  .121E-01  -25.00   5.00 C2B      1 
860203 1932  80.00   7.00   1.40    .70    .56    .28  .570E-02  -25.00   5.00 CP1A     1 
860203 1932  80.50  13.00   1.70    .70    .68    .28  .570E-02  999.00 999.00 I4       0 
860203 1932  81.00   6.00   1.30    .85    .52    .34  .102E-01  -15.00   3.50 P1A      3 
860203 1932  81.50  12.00   2.50   1.50   1.00    .60  .561E-01  999.00 999.00 I4       0 
860203 1932  82.00  14.00   2.20   1.30    .88    .52  .365E-01  999.00 999.00 I4       0 
860203 1932  83.00  19.00   1.70   1.20    .68    .48  .287E-01  -25.00   5.00 CP1A     2 
860203 1932  86.00  16.00   2.50   1.40   1.00    .56  .456E-01  -25.00   5.00 C2B      3 
860203 1932  86.50   1.00   1.90   1.35    .76    .54  .409E-01  999.00 999.00 I4       0 
860203 1932  87.00   4.00   1.20    .70    .48    .28  .570E-02  -25.00   5.00 C2B      3 
